A,O
new,O
vitamin,O
D,O
analogue,O
",",O
22,O
-,O
oxacalcitriol,B
(,O
OCT,B
),O
",",O
has,O
been,O
shown,O
to,O
have,O
promising,O
characteristics,O
.,O
This,O
study,O
was,O
undertaken,O
to,O
determine,O
the,O
effects,O
of,O
OCT,B
on,O
serum,O
PTH,O
levels,O
and,O
bone,O
turnover,O
in,O
states,O
of,O
normal,O
or,O
impaired,O
renal,O
function,O
.,O
METHODS,O
:,O
Sixty,O
dogs,O
were,O
either,O
nephrectomized,O
(,O
Nx,B
",",O
N,O
=,O
38,O
),O
or,O
sham,B
-,O
operated,O
(,O
Sham,B
",",O
N,O
=,O
22,O
),O
.,O
The,
animals,
received,
supplemental,
phosphate,
to,
enhance,
PTH,
secretion,
.,
Fourteen,
weeks,
after,
the,
start,
of,
phosphate,
supplementation,
",",
half,
of,
the,
Nx,
and,
Sham,
dogs,
received,
doses,
of,
OCT,
(,
three,
times,
per,
week,
),
;,
the,
other,
half,
were,
given,
vehicle,
for,
60,
weeks,
.,
Thereafter,
",",
the,
treatment,
modalities,
for,
a,
subset,
of,
animals,
were,
crossed,
over,
for,
an,
additional,
eight,
months,
.,
Biochemical,O
and,O
hormonal,O
indices,O
of,O
calcium,B
and,O
bone,B
metabolism,I
were,O
measured,O
throughout,O
the,O
study,O
",",O
and,O
bone,B
biopsies,I
were,O
done,O
at,O
baseline,O
",",O
60,O
weeks,O
after,O
OCT,B
or,O
vehicle,O
treatment,O
",",O
and,O
at,O
the,O
end,O
of,O
the,O
crossover,O
period,O
.,O
RESULTS,O
:,O
In,O
Nx,O
dogs,O
",",O
OCT,B
significantly,O
decreased,O
serum,O
PTH,B
levels,O
soon,O
after,O
the,O
induction,O
of,O
renal,O
insufficiency,O
.,O
In,O
long,O
-,O
standing,O
secondary,O
hyperparathyroidism,O
",",O
OCT,B
(,O
0,O
.,O
03,O
microg,O
/,O
kg,O
),O
stabilized,O
serum,O
PTH,O
levels,O
during,O
the,O
first,O
months,O
.,O
Serum,O
PTH,O
levels,O
rose,O
thereafter,O
",",O
but,O
the,O
rise,O
was,O
less,O
pronounced,O
compared,O
with,O
baseline,O
than,O
the,O
rise,O
seen,O
in,O
Nx,B
control,O
.,O
These,O
effects,O
were,O
accompanied,O
by,O
episodes,O
of,O
hypercalcemia,B
and,O
hyperphosphatemia,B
.,O
In,O
animals,O
with,O
normal,O
renal,O
function,O
",",O
OCT,B
induced,O
a,O
transient,O
decrease,O
in,O
serum,O
PTH,B
levels,O
