BRCA1,B
is,O
secreted,O
and,O
exhibits,O
properties,O
of,O
a,O
granin,O
.,O
Germline,O
mutations,O
in,O
BRCA1,B
are,O
responsible,O
for,O
most,O
cases,O
of,O
inherited,O
breast,B
and,O
ovarian,B
cancer,I
.,O
However,O
",",O
the,O
function,O
of,O
the,O
BRCA1,B
protein,O
has,O
remained,O
elusive,O
.,O
We,O
now,O
show,O
that,O
BRCA1,B
encodes,O
a,O
190,O
-,O
kD,O
protein,O
with,O
sequence,O
homology,O
and,O
biochemical,O
analogy,O
to,O
the,O
granin,O
protein,O
family,O
.,O
Interestingly,O
",",O
BRCA2,B
also,O
includes,O
a,O
motif,O
similar,O
to,O
the,O
granin,B
consensus,I
at,O
the,O
C,O
terminus,O
of,O
the,O
protein,O
.,O
Both,O
BRCA1,B
and,O
the,O
granins,B
localize,O
to,O
secretory,O
vesicles,O
",",O
are,O
secreted,O
by,O
a,O
regulated,O
pathway,O
",",O
are,O
post,O
-,O
translationally,O
glycosylated,O
and,O
are,O
responsive,O
to,O
hormones,O
.,O
As,O
a,O
regulated,O
secretory,O
protein,O
",",O
BRCA1,B
appears,O
to,O
function,O
by,O
a,O
mechanism,O
not,O
previously,O
described,O
for,O
tumour,O
suppressor,O
gene,O
products,O
.,O
.0,O
Ovarian,B
cancer,I
risk,O
in,O
BRCA1,B
carriers,O
is,O
modified,O
by,O
the,O
HRAS1,B
variable,O
number,O
of,O
tandem,O
repeat,O
(,O
VNTR,B
),O
locus,O
.,O
Women,O
who,O
carry,O
a,O
mutation,O
in,O
the,O
BRCA1,B
gene,O
(,O
on,O
chromosome,O
17q21,O
),O
",",O
have,O
an,O
80,O
%,O
risk,O
of,O
breast,B
cancer,I
and,O
a,O
40,O
%,O
risk,O
of,O
ovarian,B
cancer,I
by,O
the,O
age,O
of,O
70,O
(,O
ref,O
.,O
1,O
),O
.,O
The,O
variable,O
penetrance,O
of,O
BRCA1,B
suggests,O
that,O
other,O
genetic,O
and,O
non,O
-,O
genetic,O
factors,O
play,O
a,O
role,O
in,O
tumourigenesis,O
in,O
these,O
individuals,O
.,O
The,O
HRAS1,B
variable,O
number,O
of,O
tandem,O
repeats,O
(,O
VNTR,B
),O
polymorphism,O
",",O
located,O
1,O
kilobase,O
(,O
kb,O
),O
downstream,O
of,O
the,O
HRAS1,B
proto,O
-,O
oncogene,O
(,O
chromosome,O
11p15,O
.,O
5,O
),O
is,O
one,O
possible,O
genetic,O
modifier,O
of,O
cancer,B
penetrance,O
.,O
Individuals,O
who,O
have,O
rare,O
alleles,O
of,O
the,O
VNTR,B
have,O
an,O
increased,O
risk,O
of,O
certain,O
types,O
of,O
cancers,O
",",O
including,O
breast,B
cancer,I
(,O
2,O
-,O
4,O
),O
.,O
To,O
investigate,O
whether,O
the,O
presence,O
of,O
rare,O
HRAS1,B
alleles,O
increases,O
susceptibility,O
to,O
hereditary,O
breast,B
and,O
ovarian,B
cancer,I
",",O
we,O
have,O
typed,O
a,O
panel,O
of,O
307,O
female,O
BRCA1,B
carriers,O
at,O
this,O
locus,O
using,O
a,O
PCR,O
-,O
based,O
technique,O
.,O
The,O
risk,O
for,O
ovarian,B
cancer,I
was,O
2,O
.,O
11,O
times,O
greater,O
for,O
BRCA1,B
carriers,O
harbouring,O
one,O
or,O
two,O
rare,O
HRAS1,B
alleles,O
",",O
compared,O
to,O
carriers,O
with,O
only,O
common,O
alleles,O
(,O
P,O
=,O
0,O
.,O
015,O
),O
.),O
The,O
magnitude,O
of,O
the,O
relative,O
risk,O
associated,O
with,O
a,O
rare,O
HRAS1,B
allele,O
was,O
not,O
altered,O
by,O
adjusting,O
for,O
the,O
other,O
known,O
risk,O
factors,O
for,O
hereditary,O
ovarian,B
cancer,I
(,O
5,O
),O
.,O
Susceptibility,O
to,O
breast,B
cancer,I
did,O
not,O
appear,O
to,O
be,O
affected,O
by,O
the,O
presence,O
of,O
rare,O
HRAS1,B
alleles,O
.,O
This,O
study,O
is,O
the,O
first,O
to,O
show,O
the,O
effect,O
of,O
a,O
modifying,O
gene,O
on,O
the,O
penetrance,O
of,O
an,O
inherited,O
cancer,O
syndrome,O
A,O
novel,O
homeodomain,O
-,O
encoding,O
gene,O
is,O
associated,O
with,O
a,O
large,O
CpG,O
island,O
interrupted,O
by,O
the,O
myotonic,B
dystrophy,I
unstable,I
(,O
CTG,B
),O
n,O
repeat,O
.,O
Myotonic,B
dystrophy,I
(,O
DM,B
),O
is,O
associated,O
with,O
a,O
(,O
CTG,B
),O
n,O
trinucleotide,O
repeat,O
expansion,O
in,O
the,O
3,O
-,O
untranslated,O
region,O
of,O
a,O
protein,O
kinase,O
-,O
encoding,O
gene,O
",",O
DMPK,B
",",O
which,O
maps,O
to,O
chromosome,O
19q13,O
.,O
3,O
Characterisation,O
of,O
the,O
expression,O
of,O
this,O
gene,O
in,O
patient,O
tissues,O
has,O
thus,O
far,O
generated,O
conflicting,O
data,O
on,O
alterations,O
in,O
the,O
steady,O
state,O
levels,O
of,O
DMPK,B
mRNA,O
",",O
and,O
on,O
the,O
final,O
DMPK,B
protein,I
levels,O
in,O
